index,name,platform,publisher,developer,cscore,uscore,date,genre
9790,Sonic Classic Collection,DS,Sega,CreativeAssembly,7.0,7.5,2010,Action
9791,Beat Hazard,PC,ValuSoft,ShadowRage,7.0,7.2,2010,Action
9792,Pearl Harbor Trilogy - 1941: Red Sun Rising,Wii,LegendoEntertainment,ArcadeMoon,7.0,8.4,2010,Action
9793,Puzzle Agent,PC,TelltaleGames,TelltaleGames,7.0,6.9,2010,Miscellaneous
9794,Rocket Knight,PlayStation3,Konami,"ClimaxGroup,ClimaxStudios",7.0,8.0,2010,Action
9795,Dragon Ball: Origins 2,DS,NamcoBandaiGames,GameRepublic,7.0,tbd,2010,Action
9796,Monster Racers,DS,UFOInteractive,Koei,7.0,6.9,2010,Role-Playing
9797,Vandal Hearts: Flames of Judgment,PlayStation3,Konami,HijinxStudios,7.0,6.5,2010,Role-Playing
9798,Tom Clancy's HAWX 2,PlayStation3,Ubisoft,Ubisoft,7.0,6.5,2010,Action
9799,MotoGP 09/10,PlayStation3,Capcom,MonumentalGames,7.0,5.4,2010,Driving
9800,The Whispered World,PC,VivaMedia,DaedalicEntertainment,7.0,7.5,2010,Adventure
9801,Cities XL 2011,PC,FocusHomeInteractive,"MonteCristoMultimedia,MonteCristo",7.0,5.7,2010,Strategy
9802,Beat City,DS,THQ,Universomo,7.0,tbd,2010,Miscellaneous
9803,Fallout: New Vegas - Dead Money,Xbox360,BethesdaSoftworks,ObsidianEntertainment,7.0,6.1,2010,Role-Playing
9804,Apache: Air Assault,Xbox360,Activision,GaijinEntertainment,7.0,6.8,2010,Simulation
9805,LEGO Universe,PC,WarnerBros.InteractiveEntertainment,NetDevil,7.0,7.6,2010,Role-Playing
9806,Super Mario All-Stars: 25th Anniversary Edition,Wii,Nintendo,Nintendo,7.0,7.8,2010,Miscellaneous
9807,X-Men: The Arcade Game,Xbox360,Konami,Konami,7.0,6.9,2010,Action
9808,Dairojo! Samurai Defenders,DS,Abylight,Abylight,7.0,tbd,2010,Strategy
9809,Kaptain Brawe: A Brawe New World,PC,CateiaGames,CateiaGames,6.9,tbd,2010,Adventure
9810,Invizimals,PlayStationPortable,SCEA,Novarama,6.9,7.6,2010,Strategy
9811,Dawn of Heroes,DS,MajescoGames,WickedStudios,6.9,tbd,2010,Role-Playing
9812,Arctic Adventures: Polar's Puzzles,PlayStationPortable,EiconicGames,EiconicGames,6.9,tbd,2010,Miscellaneous
9813,HoopWorld,Wii,VirtualToys,VirtualToys,6.9,7.6,2010,Sports
9814,Military Madness: Nectaris,Wii,HudsonEntertainment,BackboneEntertainment,6.9,tbd,2010,Strategy
9815,Dragon Age: Origins - Return to Ostagar,PC,ElectronicArts,BioWare,6.9,7.0,2010,Role-Playing
9816,Glory of Heracles,DS,Nintendo,PaonCorporation,6.9,7.4,2010,Role-Playing
9817,nail'd,PC,DeepSilver,Techland,6.9,7.6,2010,Driving
9818,Surviving High School,DS,ElectronicArts,ElectronicArts,6.9,tbd,2010,Strategy
9819,MotoGP 09/10,Xbox360,Capcom,MonumentalGames,6.9,5.6,2010,Driving
9820,Alien Breed 2: Assault,PlayStation3,Team17,Team17,6.9,4.9,2010,Action
9821,Gravity Crash Portable,PlayStationPortable,SCEA,JustAddWater,6.9,tbd,2010,Action
9822,Magic: The Gathering - Duels of the Planeswalkers,PC,WizardsoftheCoast,StainlessGames,6.9,4.8,2010,Strategy
9823,Serious Sam HD: The First Encounter,Xbox360,MajescoGames,Croteam,6.9,8.5,2010,Action
9824,Ancients of Ooga,Xbox360,NinjaBee,"NinjaBee,BaconWrappedGames",6.9,5.8,2010,Action
9825,The Eye of Judgment: Legends,PlayStationPortable,SCEA,SCEI,6.9,7.9,2010,Strategy
9826,Lips: Party Classics,Xbox360,MicrosoftGameStudios,iNiS,6.9,tbd,2010,Action
9827,Ivy the Kiwi?,DS,XSEEDGames,Prope,6.9,6.3,2010,Action
9828,Phantasy Star Portable 2,PlayStationPortable,Sega,AlfaSystem,6.9,8.1,2010,Role-Playing
9829,The Oddboxx,PC,OddworldInhabitants,OddworldInhabitants,6.9,7.3,2010,Miscellaneous
9830,3D Mahjong,DS,Cosmigo,Cosmigo,6.9,tbd,2010,Miscellaneous
9831,Quake Arena Arcade,Xbox360,BethesdaSoftworks,idSoftware,6.9,7.1,2010,Action
9832,Borderlands: Claptrap's New Robot Revolution,PC,2KGames,GearboxSoftware,6.9,6.3,2010,Action
9833,The Last Airbender,DS,THQ,THQ,6.9,7.0,2010,Action
9834,Alice in Wonderland,Wii,DisneyInteractiveStudios,EtrangesLibellules,6.9,7.1,2010,Action
9835,2010 FIFA World Cup South Africa,PlayStationPortable,EASports,ElectronicArts,6.9,7.4,2010,Sports
9836,Earthworm Jim,DS,Gameloft,Gameloft,6.9,7.1,2010,Action
9837,Art Style: Rotozoa,Wii,Nintendo,SkipLtd.,6.8,tbd,2010,Miscellaneous
9838,Pokemon Ranger: Guardian Signs,DS,Nintendo,CreaturesInc.,6.8,8.1,2010,Role-Playing
9839,Call of Duty: Modern Warfare 2 - Stimulus Package,Xbox360,Activision,InfinityWard,6.8,2.6,2010,Action
9840,Spider-Man: Shattered Dimensions,PC,Activision,Beenox,6.8,7.6,2010,Action
9841,Harvest Moon DS: Grand Bazaar,DS,Natsume,MarvelousEntertainment,6.8,7.7,2010,Strategy
9842,Crimecraft: Bleedout,PC,Vogster,Vogster,6.8,5.0,2010,Action
9843,NIER,PlayStation3,SquareEnix,CaviaInc.,6.8,8.7,2010,Role-Playing
9844,Chronos Twins DX,Wii,EnjoyUpGames,EnjoyUpGames,6.8,tbd,2010,Action
9845,Hello Flowerz,DS,EnjoyGaming,EnjoyGaming,6.8,tbd,2010,Simulation
9846,XG Blast!,DS,UFOInteractive,NextWaveTeam,6.8,tbd,2010,Action
9847,Lost Planet 2,Xbox360,Capcom,Capcom,6.8,6.3,2010,Action
9848,A.R.E.S. Extinction Agenda,PC,"EXTENDInteractive,LLC.","EXTENDInteractive,LLC.,ExtendInteractive",6.8,6.2,2010,Action
9849,Hexyz Force,PlayStationPortable,Atlus,Sting,6.8,7.3,2010,Role-Playing
9850,The Precursors,PC,Russobit-M,DeepShadows,6.8,6.6,2010,Action
9851,Lost Planet 2,PlayStation3,Capcom,Capcom,6.8,7.0,2010,Action
9852,Deadly Premonition,Xbox360,IgnitionEntertainment,AccessGames,6.8,8.3,2010,Action Adventure
9853,The Ball,PC,TripwireInteractive,TeotlStudios,6.8,6.3,2010,Action Adventure
